event_name,contract_address,event_arguments,transaction_hash,block_number,block_hash,log_index,transaction_index,poolAddress,poolType,nft,bondingCurve,fee,delta
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x17BF324225FDA7e4E3751F20136eb886E0787435'},0xf08ad3b5dc23436ff838bc6769c3a037cc57806ae487d40cc2539cdcaf654daf,15303125,0xd7ecb2f7541a244296b6293e64ce0c8b8ee0136f67367eb478fa00c2f150cc2e,89,36,0x17BF324225FDA7e4E3751F20136eb886E0787435,2,0x27787755137863Bb7f2387Ed34942543C9F24EFE,0x432f962D8209781da23fB37b6B59ee15dE7d9841,50000000000000000,1100000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x4A64e6574b4ea5768EEaF5420C8Ea24eBecDa106'},0x0db1a7f323dc2d51d2b9f5d6424cb0a4bf66e3a1acb421c3007741c2400607b7,15303153,0x108c202f74816e7a3c5ea56787c4e9b56af8a391eeddf9cfee00e63a967f5f93,141,85,0x4A64e6574b4ea5768EEaF5420C8Ea24eBecDa106,2,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0x432f962D8209781da23fB37b6B59ee15dE7d9841,30000000000000000,1150000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xABefD2c506f806Bd8370D4e8685F2CaE0f1E89Fa'},0x30841e651d9ca7bcdbc481245d9a69055c79dc87caeeeedbb3bb6c1b97361e9d,15303163,0x90f9ff049af00b477e09e4be00f67cf70fd16ec70cc7bf7b448ca8834cdcc8c1,213,148,0xABefD2c506f806Bd8370D4e8685F2CaE0f1E89Fa,2,0xaCF63E56fd08970b43401492a02F6F38B6635C91,0x432f962D8209781da23fB37b6B59ee15dE7d9841,35000000000000000,1125000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x5D804fD47084e599d9CDb82b0506782e74Ce7580'},0x3cd67d4ce52682d002c27fae3d6cdcb9164093ca109f73dc99b51018c0996a2f,15303170,0x600a25bfab2af14d636c3ae079e8ef9543792914470157fb0ca8cda0094ed6de,579,351,0x5D804fD47084e599d9CDb82b0506782e74Ce7580,2,0xCa21d4228cDCc68D4e23807E5e370C07577Dd152,0x5B6aC51d9B1CeDE0068a1B26533CAce807f883Ee,10000000000000000,3000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x36746C14fC691305fC7Ec8b3fce98D4Bce3e6329'},0x677c9f84d2a6f049ce6edde5cbee74f67a1d51ea6999018d198725db6dbfdbcc,15303214,0x4c1076e5f6762eabb5f137ee8ea0104eb0a24604f8390d10659517e9873b734e,108,79,0x36746C14fC691305fC7Ec8b3fce98D4Bce3e6329,2,0x6C5a06AE6b773457480c12F12C2fB22627507A3A,0x5B6aC51d9B1CeDE0068a1B26533CAce807f883Ee,20000000000000000,5000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x2Bbf4c2fF4C933a1beF44B706e7fBE8499B869f0'},0xce613cd45b91c1c281e3821b474bf7ad7971559ceed238661a48b127c886ea8b,15303338,0xb416c9213b8083b78d87703eae608044cc8fa6a8ef1d7bb64532fce63429e47f,51,6,0x2Bbf4c2fF4C933a1beF44B706e7fBE8499B869f0,2,0x524cAB2ec69124574082676e6F654a18df49A048,0x432f962D8209781da23fB37b6B59ee15dE7d9841,50000000000000000,1075000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x30D5e5bE3e61ED152A8718ddD2EF32d1dB57A095'},0x75c96257c95ceae5d81c3f31742a43f076c44b64d60232526e29a0d6e3e70059,15303338,0xb416c9213b8083b78d87703eae608044cc8fa6a8ef1d7bb64532fce63429e47f,239,87,0x30D5e5bE3e61ED152A8718ddD2EF32d1dB57A095,2,0x6C5a06AE6b773457480c12F12C2fB22627507A3A,0x432f962D8209781da23fB37b6B59ee15dE7d9841,50000000000000000,1100000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xf8a3554BA4997516D7C6525B8c7E23715Ab0A898'},0xf373e6ad13575484271f673dd6fc3d2c764141fb8c0b21169ee68ea476ffdf29,15303406,0x010c9620b8e7b5a7de90fe465412abdac4c2c89fc1b59e75714eeec4f892c364,136,73,0xf8a3554BA4997516D7C6525B8c7E23715Ab0A898,2,0xCa7cA7BcC765F77339bE2d648BA53ce9c8a262bD,0x432f962D8209781da23fB37b6B59ee15dE7d9841,33300000000000000,1015000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x387786Ee2BDc0940a655dE53ed8039658aC98141'},0xa216d728bfe11347b2bc4908822dbcb82e18be7a3aaad67f2d2832619a6889bc,15303439,0x5370f91010b295709d22a500c8d2c6a0e6146fddddecf79e990343e3e10ac83b,66,23,0x387786Ee2BDc0940a655dE53ed8039658aC98141,2,0x740c178e10662bBb050BDE257bFA318dEfE3cabC,0x432f962D8209781da23fB37b6B59ee15dE7d9841,50000000000000000,1030000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x429207517E0b9096Cd8E56Aa1b01dC792Db2d658'},0x0b4a7395a221dc6399e9300a0133cc44f2fce9640e2af91d161ff129be11f858,15303473,0x83d7cb3437cd4ccd1b52fc74a0aa68cbbde984a2f9260a87e75f396e54a70025,78,31,0x429207517E0b9096Cd8E56Aa1b01dC792Db2d658,2,0x6CB26dF0c825fEcE867a84658f87b0eCbceA72f6,0x5B6aC51d9B1CeDE0068a1B26533CAce807f883Ee,69000000000000000,3000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x9D3dBC2b06E77763f72581e8907Aa4ED584A7816'},0x5fd813280735ace2dd49334a4493ffc034a01e9c1f5426c890366357d1fffe6f,15303487,0x48aebff6e376166c55ed9fd8eceec3f68b88a9bf329a941994a5d329a2f67afb,218,56,0x9D3dBC2b06E77763f72581e8907Aa4ED584A7816,2,0xD2d6b889468E261Aa7e1586fFcECA338F1D7D104,0x432f962D8209781da23fB37b6B59ee15dE7d9841,10000000000000000,1100000000000000000
